ID,Description,Stage_Pattern_ID,Spawn_Number,Distance,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,Spawn_Node,N
30,snowland-2,2,15,15,7,0,0,1,0,0,0,0,0,0,0,1,0,0,7,N
31,snowland-3-1,3,1,1,4,0,1,0,0,0,0,1,0,0,0,0,1,0,4,N
32,snowland-3-1,3,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,N
33,snowland-3-1,3,3,3,1,0,2,2,0,0,1,1,1,0,0,2,2,0,1,N
34,snowland-3-1,3,4,4,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,N
35,snowland-3-1,3,5,5,0,0,0,0,1,1,1,2,1,1,1,0,0,0,0,N
36,snowland-3-1,3,6,6,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,N
37,snowland-3-1,3,7,7,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,N
38,snowland-3-1,3,8,8,1,1,1,0,2,4,0,7,0,4,2,0,1,1,1,N
39,snowland-3-1,3,9,9,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,N
40,snowland-3-1,3,10,10,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,N
41,snowland-3-1,3,11,11,0,0,0,0,1,1,1,2,1,1,1,0,0,0,0,N
42,snowland-3-1,3,12,12,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,N
43,snowland-3-1,3,13,13,1,0,2,2,0,0,1,1,1,0,0,2,2,0,1,N
44,snowland-3-1,3,14,14,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,N
45,snowland-3-1,3,15,15,6,0,1,0,0,0,0,1,0,0,0,0,1,0,4,N
46,snowland-3-2,4,1,1,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,N
47,snowland-3-2,4,2,2,0,0,4,1,0,0,1,0,23,1,0,1,0,0,4,N
48,snowland-3-2,4,3,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,N
49,snowland-3-2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,N
50,snowland-3-2,4,5,5,0,0,0,0,1,0,0,23,1,0,0,0,0,0,0,N
51,snowland-3-2,4,6,6,0,3,0,0,1,0,0,1,0,1,0,4,0,3,0,N
52,snowland-3-2,4,7,7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,N
53,snowland-3-2,4,8,8,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,N
54,snowland-3-2,4,9,9,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,N
55,snowland-3-2,4,10,10,0,0,0,0,1,0,1,23,4,0,0,1,0,0,0,N
56,snowland-3-2,4,11,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,N
57,snowland-3-2,4,12,12,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,N
58,snowland-3-2,4,13,13,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,N
59,snowland-3-2,4,14,14,0,0,0,0,0,0,0,0,1,23,0,1,0,4,0,N
60,snowland-3-2,4,15,15,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,N
61,snowland-4-1,5,1,1,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N
62,snowland-4-1,5,2,2,0,4,0,1,0,4,1,1,1,4,0,1,0,4,0,N
63,snowland-4-1,5,3,3,0,0,1,0,2,2,0,2,0,2,2,0,1,0,0,N
64,snowland-4-1,5,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,N
65,snowland-4-1,5,5,5,0,0,2,0,2,1,0,3,0,1,2,0,2,0,0,N
66,snowland-4-1,5,6,6,0,0,2,0,1,2,0,2,0,2,1,0,2,0,0,N
67,snowland-4-1,5,7,7,0,1,0,0,0,0,3,3,3,0,0,0,0,1,0,N
68,snowland-4-1,5,8,8,1,1,2,0,3,2,3,3,3,2,3,0,2,1,1,N
69,snowland-4-1,5,9,9,0,1,0,0,0,0,3,3,3,0,0,0,0,1,0,N
70,snowland-4-1,5,10,10,0,0,2,0,1,2,0,2,0,2,1,0,2,0,0,N
71,snowland-4-1,5,11,11,0,0,2,0,2,1,0,3,0,1,2,0,2,0,0,N
72,snowland-4-1,5,12,12,2,1,0,2,0,0,0,0,0,0,0,0,0,1,1,N
73,snowland-4-1,5,13,13,0,0,1,0,2,2,0,2,0,2,2,0,1,0,0,N
74,snowland-4-1,5,14,14,0,0,0,1,0,4,1,1,1,4,0,1,0,4,0,N
75,snowland-4-1,5,15,15,6,0,0,2,0,0,0,1,0,0,0,1,0,0,7,N
76,snowland-4-2,6,1,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,N
77,snowland-4-2,6,2,2,0,4,0,1,0,0,3,3,3,0,0,1,0,4,0,N
78,snowland-4-2,6,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,N
79,snowland-4-2,6,4,4,1,1,0,2,1,0,0,0,0,0,1,2,0,1,1,N
80,snowland-4-2,6,5,5,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,N
81,snowland-4-2,6,6,6,0,4,0,0,0,3,0,2,0,3,0,0,0,0,0,N
82,snowland-4-2,6,7,7,0,3,0,0,0,0,1,0,1,0,0,0,0,3,0,N
83,snowland-4-2,6,8,8,3,3,3,0,2,2,0,8,0,2,2,0,3,3,3,N
84,snowland-4-2,6,9,9,0,3,0,0,0,0,1,0,1,0,0,0,0,3,0,N
85,snowland-4-2,6,10,10,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,N
86,snowland-4-2,6,11,11,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,N
87,snowland-4-2,6,12,12,0,1,0,2,1,0,0,0,0,0,1,2,0,1,1,N
88,snowland-4-2,6,13,13,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,N
89,snowland-4-2,6,14,14,0,0,0,1,0,0,3,3,3,0,0,1,0,4,0,N
90,snowland-4-2,6,15,15,6,0,2,0,0,0,0,3,0,0,0,1,0,0,0,N
91,snowland-5-1,7,1,1,7,0,0,3,0,0,0,0,0,0,0,3,0,0,0,N
92,snowland-5-1,7,2,2,0,4,0,1,0,1,0,4,0,1,0,1,0,4,0,N
93,snowland-5-1,7,3,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,N
94,snowland-5-1,7,4,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,3,N
95,snowland-5-1,7,5,5,0,0,2,0,2,0,0,2,0,0,2,0,2,0,0,N
96,snowland-5-1,7,6,6,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,N
97,snowland-5-1,7,7,7,0,0,0,0,3,0,3,2,3,0,3,0,0,0,0,N
98,snowland-5-1,7,8,8,0,4,0,1,2,1,2,1,2,1,2,1,0,4,0,N
99,snowland-5-1,7,9,9,0,0,0,0,3,0,3,2,3,0,3,0,0,0,0,N
100,snowland-5-1,7,10,10,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,N
101,snowland-5-1,7,11,11,0,0,2,0,2,0,0,2,0,0,2,0,2,0,0,N
102,snowland-5-1,7,12,12,3,1,0,0,0,0,0,1,0,0,0,0,0,1,3,N
103,snowland-5-1,7,13,13,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,N
104,snowland-5-1,7,14,14,0,0,0,1,0,1,0,4,0,1,0,1,0,4,0,N
105,snowland-5-1,7,15,15,6,0,0,3,0,0,0,0,0,0,0,3,0,0,7,N
106,snowland-5-2,8,1,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,N
107,snowland-5-2,8,2,2,0,4,0,1,0,3,3,3,3,3,0,1,0,4,0,N
108,snowland-5-2,8,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,N
109,snowland-5-2,8,4,4,1,1,0,2,1,0,0,0,0,0,1,2,0,1,1,N
110,snowland-5-2,8,5,5,0,0,0,1,3,0,0,2,0,0,3,1,0,0,0,N
111,snowland-5-2,8,6,6,0,4,0,0,0,3,0,2,0,3,0,0,0,0,0,N
112,snowland-5-2,8,7,7,0,3,0,0,0,0,1,1,1,0,0,0,0,3,0,N
113,snowland-5-2,8,8,8,3,3,3,0,2,2,1,8,1,2,2,0,3,3,3,N
114,snowland-5-2,8,9,9,0,3,0,0,0,0,1,1,1,0,0,0,0,3,0,N
115,snowland-5-2,8,10,10,0,0,0,0,0,3,0,2,0,3,0,0,0,4,0,N
116,snowland-5-2,8,11,11,0,0,0,1,3,0,0,2,0,0,3,1,0,0,0,N
117,snowland-5-2,8,12,12,0,1,0,2,1,0,0,0,0,0,1,2,0,1,1,N
118,snowland-5-2,8,13,13,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,N
119,snowland-5-2,8,14,14,0,0,0,1,0,3,3,3,3,3,0,1,0,4,0,N
120,snowland-5-2,8,15,15,6,0,2,0,0,0,0,3,0,0,0,1,0,0,0,N
121,snowland-6-1,9,1,1,7,0,0,3,0,0,0,0,0,0,0,3,0,0,0,N
122,snowland-6-1,9,2,2,0,4,0,1,0,1,0,4,0,1,0,1,0,4,0,N
123,snowland-6-1,9,3,3,0,0,2,2,2,0,0,3,0,0,2,2,2,0,0,N
124,snowland-6-1,9,4,4,3,1,2,0,0,0,0,1,0,0,0,4,2,1,3,N
125,snowland-6-1,9,5,5,0,0,2,0,2,0,0,2,0,0,2,0,2,0,0,N
126,snowland-6-1,9,6,6,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,N
127,snowland-6-1,9,7,7,0,0,0,0,3,0,3,2,3,0,3,0,0,0,0,N
128,snowland-6-1,9,8,8,0,4,3,1,2,1,2,1,2,1,2,1,3,4,0,N
129,snowland-6-1,9,9,9,0,0,0,0,3,0,3,2,3,0,3,0,0,0,0,N
130,snowland-6-1,9,10,10,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,N
131,snowland-6-1,9,11,11,0,0,2,0,2,0,0,2,0,0,2,0,2,0,0,N
132,snowland-6-1,9,12,12,3,1,2,0,0,0,0,1,0,0,0,0,2,1,3,N
133,snowland-6-1,9,13,13,0,0,2,2,2,0,0,3,0,0,2,2,2,0,0,N
134,snowland-6-1,9,14,14,0,0,0,1,0,1,0,4,0,1,0,1,0,4,0,N
135,snowland-6-1,9,15,15,6,0,0,3,0,0,0,0,0,0,0,3,0,0,7,N
136,snowland-6-2,10,1,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,N
137,snowland-6-2,10,2,2,0,4,0,1,0,3,3,3,3,3,0,1,0,4,0,N
138,snowland-6-2,10,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,N
139,snowland-6-2,10,4,4,1,1,0,2,1,0,0,0,0,0,1,2,0,1,1,N
140,snowland-6-2,10,5,5,0,0,0,1,3,0,0,3,0,0,3,1,0,0,0,N
141,snowland-6-2,10,6,6,0,4,0,0,0,3,0,3,0,3,0,0,0,4,0,N
142,snowland-6-2,10,7,7,0,3,0,0,0,0,1,1,1,0,0,0,0,3,0,N
143,snowland-6-2,10,8,8,3,3,3,0,3,3,1,8,1,3,3,0,3,3,3,N
144,snowland-6-2,10,9,9,0,3,0,0,0,0,1,1,1,0,0,0,0,3,0,N
145,snowland-6-2,10,10,10,0,0,0,0,0,3,0,3,0,3,0,0,0,4,0,N
146,snowland-6-2,10,11,11,0,0,0,1,3,0,0,3,0,0,3,1,0,0,0,N
147,snowland-6-2,10,12,12,0,1,0,2,1,0,0,0,0,0,1,2,0,1,1,N
148,snowland-6-2,10,13,13,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,N
149,snowland-6-2,10,14,14,0,0,0,1,0,3,3,3,3,3,0,1,0,4,0,N
150,snowland-6-2,10,15,15,6,0,2,0,0,0,0,3,0,0,0,1,0,0,0,N
151,snowland-7-1,11,1,1,7,0,0,1,0,0,0,0,0,0,0,1,0,0,7,N
152,snowland-7-1,11,2,2,0,4,0,1,0,0,0,4,0,0,0,1,0,4,0,N
153,snowland-7-1,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
154,snowland-7-1,11,4,4,1,1,0,0,0,2,1,1,1,2,0,0,0,1,1,N
155,snowland-7-1,11,5,5,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,N
156,snowland-7-1,11,6,6,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,N
157,snowland-7-1,11,7,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,N
158,snowland-7-1,11,8,8,0,4,0,1,3,3,0,6,0,3,3,1,0,4,0,N
159,snowland-7-1,11,9,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,N
160,snowland-7-1,11,10,10,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,N
161,snowland-7-1,11,11,11,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,N
162,snowland-7-1,11,12,12,1,1,0,0,0,2,1,1,1,2,0,0,0,1,1,N
163,snowland-7-1,11,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
164,snowland-7-1,11,14,14,0,4,0,1,0,0,0,4,0,0,0,1,0,4,0,N
165,snowland-7-1,11,15,15,7,0,0,1,0,0,0,0,0,0,0,1,0,0,7,N
166,snowland-7-2,12,1,1,4,0,1,0,0,0,0,3,0,0,0,0,1,0,4,N
167,snowland-7-2,12,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,N
168,snowland-7-2,12,3,3,1,0,2,2,0,0,0,3,0,0,0,2,2,0,1,N
169,snowland-7-2,12,4,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,N
170,snowland-7-2,12,5,5,0,0,0,0,2,1,1,2,1,1,2,0,0,0,0,N
171,snowland-7-2,12,6,6,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,N
172,snowland-7-2,12,7,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,N
173,snowland-7-2,12,8,8,3,3,3,0,2,4,0,7,0,4,2,0,3,3,3,N
174,snowland-7-2,12,9,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,N
175,snowland-7-2,12,10,10,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,N
176,snowland-7-2,12,11,11,0,0,0,0,2,1,1,2,1,1,2,0,0,0,0,N
177,snowland-7-2,12,12,12,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,N
178,snowland-7-2,12,13,13,1,0,2,2,0,0,0,3,0,0,0,2,2,0,1,N
179,snowland-7-2,12,14,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,N
180,snowland-7-2,12,15,15,6,0,1,0,0,0,0,3,0,0,0,0,1,0,4,N
181,snowland-7-3,13,1,1,3,3,0,0,1,0,0,0,0,0,1,0,0,3,3,N
182,snowland-7-3,13,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,N
183,snowland-7-3,13,3,3,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,N
184,snowland-7-3,13,4,4,0,0,0,3,0,2,0,0,0,2,0,3,0,0,0,N
185,snowland-7-3,13,5,5,1,0,2,0,0,0,2,0,2,0,0,0,2,0,1,N
186,snowland-7-3,13,6,6,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,N
187,snowland-7-3,13,7,7,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,N
188,snowland-7-3,13,8,8,0,0,4,0,0,1,0,8,0,1,0,0,4,0,0,N
189,snowland-7-3,13,9,9,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,N
190,snowland-7-3,13,10,10,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,N
191,snowland-7-3,13,11,11,1,0,2,0,0,0,2,0,2,0,0,0,2,0,1,N
192,snowland-7-3,13,12,12,0,0,0,3,0,2,0,0,0,2,0,3,0,0,0,N
193,snowland-7-3,13,13,13,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,N
194,snowland-7-3,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,N
195,snowland-7-3,13,15,15,6,0,0,0,1,0,0,0,0,0,1,0,0,3,3,N
196,snowland-8-1,14,1,1,4,0,1,0,0,0,0,3,0,0,0,0,1,0,4,N
197,snowland-8-1,14,2,2,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,N
198,snowland-8-1,14,3,3,1,0,2,2,0,0,3,3,3,0,0,2,2,0,1,N
199,snowland-8-1,14,4,4,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,N
200,snowland-8-1,14,5,5,0,0,0,0,3,1,3,2,3,1,3,0,0,0,0,N
201,snowland-8-1,14,6,6,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,N
202,snowland-8-1,14,7,7,0,3,3,0,3,0,0,0,0,0,3,0,3,3,0,N
203,snowland-8-1,14,8,8,3,3,3,0,2,4,0,7,0,4,2,0,3,3,3,N
204,snowland-8-1,14,9,9,0,3,3,0,3,0,0,0,0,0,3,0,3,3,0,N
205,snowland-8-1,14,10,10,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,N
206,snowland-8-1,14,11,11,0,0,0,0,3,1,3,2,3,1,3,0,0,0,0,N
207,snowland-8-1,14,12,12,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,N
208,snowland-8-1,14,13,13,1,0,2,2,0,0,3,3,3,0,0,2,2,0,1,N
209,snowland-8-1,14,14,14,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,N
210,snowland-8-1,14,15,15,6,0,1,0,0,0,0,3,0,0,0,0,1,0,4,N
211,snowland-8-2,15,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N
212,snowland-8-2,15,2,2,0,0,4,3,0,0,1,0,0,0,0,3,0,0,4,N
213,snowland-8-2,15,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N
214,snowland-8-2,15,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,N
215,snowland-8-2,15,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N
216,snowland-8-2,15,6,6,0,3,0,0,0,0,0,1,0,0,0,4,0,3,0,N
217,snowland-8-2,15,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,N
218,snowland-8-2,15,8,8,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,N
219,snowland-8-2,15,9,9,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,N
220,snowland-8-2,15,10,10,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,N
221,snowland-8-2,15,11,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N
222,snowland-8-2,15,12,12,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,N
223,snowland-8-2,15,13,13,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,N
224,snowland-8-2,15,14,14,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,N
225,snowland-8-2,15,15,15,6,0,0,0,0,3,0,0,0,1,0,0,0,0,0,N
226,snowland-8-3,16,1,1,3,3,3,3,3,3,3,3,3,3,3,2,0,0,8,N
227,snowland-8-3,16,2,2,3,3,3,3,3,3,3,3,3,3,2,0,0,4,0,N
228,snowland-8-3,16,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,N
229,snowland-8-3,16,4,4,3,3,3,3,3,3,3,3,2,0,1,1,0,0,2,N
230,snowland-8-3,16,5,5,3,3,3,3,3,3,3,2,0,0,0,1,0,2,3,N
231,snowland-8-3,16,6,6,3,3,3,3,3,3,2,0,0,4,0,0,2,3,3,N
232,snowland-8-3,16,7,7,3,3,3,3,3,2,0,0,0,0,0,2,3,3,3,N
233,snowland-8-3,16,8,8,3,3,3,3,2,0,1,1,0,0,2,3,3,3,3,N
234,snowland-8-3,16,9,9,3,3,3,2,0,0,0,1,0,2,3,3,3,3,3,N
235,snowland-8-3,16,10,10,3,3,2,0,0,4,0,0,2,3,3,3,3,3,3,N
236,snowland-8-3,16,11,11,3,2,0,0,0,0,0,2,3,3,3,3,3,3,3,N
237,snowland-8-3,16,12,12,2,0,1,1,0,0,2,3,3,3,3,3,3,3,3,N
238,snowland-8-3,16,13,13,0,0,0,1,0,2,3,3,3,3,3,3,3,3,3,N
239,snowland-8-3,16,14,14,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,N
240,snowland-8-3,16,15,15,6,0,0,2,3,3,3,3,3,3,3,3,3,3,3,N
241,snowland-boss,17,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,N
242,snowland-boss,17,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,N
243,snowland-boss,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
244,snowland-boss,17,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,N
245,snowland-boss,17,5,5,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,N
246,snowland-boss,17,6,6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,N
247,snowland-boss,17,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
248,snowland-boss,17,8,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,N
249,snowland-boss,17,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
250,snowland-boss,17,10,10,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,N
251,snowland-boss,17,11,11,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,N
252,snowland-boss,17,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,N
253,snowland-boss,17,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
254,snowland-boss,17,14,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,N
255,snowland-boss,17,15,15,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,N
256,tutorial,18,1,1,12,0,0,0,0,2,0,0,18,0,13,0,0,21,0,N
257,tutorial,18,2,2,0,12,0,0,0,0,0,0,18,0,13,0,0,0,21,N
258,tutorial,18,3,3,0,0,12,0,0,2,0,0,18,0,13,0,0,21,0,N
259,tutorial,18,4,4,0,0,0,2,2,2,2,2,2,2,2,2,21,0,0,N
260,tutorial,18,5,5,17,17,17,2,0,0,0,0,0,0,0,2,0,0,0,N
261,tutorial,18,6,6,0,0,0,2,0,0,0,0,0,0,0,2,19,19,19,N
262,tutorial,18,7,7,0,0,0,2,21,21,21,21,0,0,0,2,0,0,0,N
263,tutorial,18,8,8,21,21,21,2,0,0,0,2,0,0,0,2,14,14,14,N
264,tutorial,18,9,9,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N
265,tutorial,18,10,10,11,11,11,2,15,15,15,2,0,8,0,2,0,0,0,N
266,tutorial,18,11,11,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N
267,tutorial,18,12,12,16,16,16,2,20,20,20,2,2,2,2,2,0,0,0,N
268,tutorial,18,13,13,0,0,0,2,0,0,0,0,0,0,0,0,21,0,21,N
269,tutorial,18,14,14,0,6,0,2,0,0,0,0,0,0,0,0,21,0,21,N
270,tutorial,18,15,15,0,0,0,2,0,0,0,0,0,0,0,0,21,21,21,N
